person_id,video_id,frame_name,front_face_flag
id00026,KPiwotirhuQ,00026_0043,0
id00026,KPiwotirhuQ,00028_0046,0
id00026,KPiwotirhuQ,00018_0133,0
id00026,KPiwotirhuQ,00018_0270,0
id00026,KPiwotirhuQ,00016_0114,0
id00026,KPiwotirhuQ,00024_0122,0
id00026,KPiwotirhuQ,00024_0086,0
id00026,KPiwotirhuQ,00014_0138,1
id00026,KPiwotirhuQ,00024_0186,0
id00026,KPiwotirhuQ,00017_0236,1
id00026,k-z3h6xOamY,00046_0161,1
id00026,k-z3h6xOamY,00045_0033,1
id00026,k-z3h6xOamY,00046_0086,1
id00026,k-z3h6xOamY,00046_0051,1
id00026,k-z3h6xOamY,00046_0040,1
id00026,k-z3h6xOamY,00046_0039,1
id00026,k-z3h6xOamY,00046_0234,1
id00026,k-z3h6xOamY,00045_0004,1
id00026,k-z3h6xOamY,00046_0207,1
id00026,k-z3h6xOamY,00047_0160,1
id00026,HlZH9s3mOGM,00013_0007,1
id00026,HlZH9s3mOGM,00013_0010,1
id00026,HlZH9s3mOGM,00013_0084,1
id00026,HlZH9s3mOGM,00013_0071,1
id00026,HlZH9s3mOGM,00013_0021,1
id00026,HlZH9s3mOGM,00013_0060,1
id00026,HlZH9s3mOGM,00013_0065,1
id00026,HlZH9s3mOGM,00013_0030,1
id00026,HlZH9s3mOGM,00013_0013,1
id00026,HlZH9s3mOGM,00013_0047,1
id00026,A3jQ3ZgWqys,00006_0068,1
id00026,A3jQ3ZgWqys,00005_0095,0
id00026,A3jQ3ZgWqys,00005_0012,0
id00026,A3jQ3ZgWqys,00006_0033,1
id00026,A3jQ3ZgWqys,00006_0064,1
id00026,A3jQ3ZgWqys,00006_0005,1
id00026,A3jQ3ZgWqys,00006_0053,1
id00026,A3jQ3ZgWqys,00006_0084,1
id00026,A3jQ3ZgWqys,00005_0027,0
id00026,A3jQ3ZgWqys,00005_0062,0
id00026,5jqK2BegVjY,00003_0115,1
id00026,5jqK2BegVjY,00003_0172,0
id00026,5jqK2BegVjY,00003_0031,1
id00026,5jqK2BegVjY,00003_0029,1
id00026,5jqK2BegVjY,00002_0084,1
id00026,5jqK2BegVjY,00002_0080,1
id00026,5jqK2BegVjY,00003_0088,0
id00026,5jqK2BegVjY,00002_0067,1
id00026,5jqK2BegVjY,00002_0057,1
id00026,5jqK2BegVjY,00004_0099,1
id00026,YPM8RpetRyk,00038_0195,1
id00026,YPM8RpetRyk,00040_0041,1
id00026,YPM8RpetRyk,00036_0099,1
id00026,YPM8RpetRyk,00033_0103,1
id00026,YPM8RpetRyk,00038_0079,1
id00026,YPM8RpetRyk,00041_0072,1
id00026,YPM8RpetRyk,00043_0095,1
id00026,YPM8RpetRyk,00036_0014,1
id00026,YPM8RpetRyk,00043_0120,1
id00026,YPM8RpetRyk,00044_0005,1
id00026,Gc0aWmBoDfo,00012_0128,0
id00026,Gc0aWmBoDfo,00012_0042,1
id00026,Gc0aWmBoDfo,00011_0042,1
id00026,Gc0aWmBoDfo,00009_0114,0
id00026,Gc0aWmBoDfo,00009_0079,0
id00026,Gc0aWmBoDfo,00011_0050,1
id00026,Gc0aWmBoDfo,00010_0094,0
id00026,Gc0aWmBoDfo,00009_0096,0
id00026,Gc0aWmBoDfo,00012_0003,1
id00026,Gc0aWmBoDfo,00009_0071,0
id00026,x4PjzvCP8CY,00049_0089,0
id00026,x4PjzvCP8CY,00049_0073,0
id00026,x4PjzvCP8CY,00049_0058,0
id00026,x4PjzvCP8CY,00049_0064,0
id00026,x4PjzvCP8CY,00049_0053,0
id00026,x4PjzvCP8CY,00049_0043,0
id00026,x4PjzvCP8CY,00049_0087,0
id00026,x4PjzvCP8CY,00049_0078,0
id00026,x4PjzvCP8CY,00049_0041,0
id00026,x4PjzvCP8CY,00049_0061,0
id00025,YWkS_GWripE,00029_0050,0
id00025,YWkS_GWripE,00034_0298,0
id00025,YWkS_GWripE,00034_0397,0
id00025,YWkS_GWripE,00038_0114,1
id00025,YWkS_GWripE,00032_0076,0
id00025,YWkS_GWripE,00035_0085,0
id00025,YWkS_GWripE,00034_0396,0
id00025,YWkS_GWripE,00034_0035,0
id00025,YWkS_GWripE,00037_0098,1
id00025,YWkS_GWripE,00030_0034,0
id00025,veFTCDiIaTs,00061_0033,1
id00025,veFTCDiIaTs,00067_0062,0
id00025,veFTCDiIaTs,00067_0069,0
id00025,veFTCDiIaTs,00063_0092,0
id00025,veFTCDiIaTs,00059_0304,0
id00025,veFTCDiIaTs,00063_0128,1
id00025,veFTCDiIaTs,00067_0044,1
id00025,veFTCDiIaTs,00063_0219,0
id00025,veFTCDiIaTs,00064_0009,1
id00025,veFTCDiIaTs,00059_0169,0
id00025,2Zw01Ka2Dj0,00011_0177,0
id00025,2Zw01Ka2Dj0,00010_0166,0
id00025,2Zw01Ka2Dj0,00010_0150,1
id00025,2Zw01Ka2Dj0,00011_0011,0
id00025,2Zw01Ka2Dj0,00011_0187,0
id00025,2Zw01Ka2Dj0,00011_0125,1
id00025,2Zw01Ka2Dj0,00011_0193,0
id00025,2Zw01Ka2Dj0,00010_0040,1
id00025,2Zw01Ka2Dj0,00011_0167,0
id00025,2Zw01Ka2Dj0,00011_0116,1
id00025,qvu0bJB7jFQ,00058_0044,0
id00025,qvu0bJB7jFQ,00058_0040,0
id00025,qvu0bJB7jFQ,00058_0089,0
id00025,qvu0bJB7jFQ,00058_0043,0
id00025,qvu0bJB7jFQ,00058_0039,0
id00025,qvu0bJB7jFQ,00058_0041,0
id00025,qvu0bJB7jFQ,00058_0072,0
id00025,qvu0bJB7jFQ,00058_0038,0
id00025,qvu0bJB7jFQ,00058_0070,0
id00025,qvu0bJB7jFQ,00058_0071,0
id00025,PjSeVtbvSjA,00025_0006,0
id00025,PjSeVtbvSjA,00025_0044,0
id00025,PjSeVtbvSjA,00025_0105,0
id00025,PjSeVtbvSjA,00025_0095,0
id00025,PjSeVtbvSjA,00022_0167,0
id00025,PjSeVtbvSjA,00025_0175,0
id00025,PjSeVtbvSjA,00022_0027,1
id00025,PjSeVtbvSjA,00025_0121,0
id00025,PjSeVtbvSjA,00022_0385,0
id00025,eb8vIK6NrmE,00045_0368,0
id00025,eb8vIK6NrmE,00046_0056,0
id00025,eb8vIK6NrmE,00045_0168,0
id00025,eb8vIK6NrmE,00045_0284,0
id00025,eb8vIK6NrmE,00046_0324,0
id00025,eb8vIK6NrmE,00044_0087,0
id00025,eb8vIK6NrmE,00045_0346,0
id00025,eb8vIK6NrmE,00045_0218,0
id00025,eb8vIK6NrmE,00046_0042,0
id00025,eb8vIK6NrmE,00044_0054,0
id00025,enfqCdmji5w,00052_0087,1
id00025,enfqCdmji5w,00051_0056,0
id00025,enfqCdmji5w,00049_0069,1
id00025,enfqCdmji5w,00053_0085,1
id00025,enfqCdmji5w,00051_0067,0
id00025,enfqCdmji5w,00050_0043,0
id00025,enfqCdmji5w,00052_0107,1
id00025,enfqCdmji5w,00051_0069,0
id00025,enfqCdmji5w,00053_0068,1
id00025,enfqCdmji5w,00051_0064,0
id00025,_tVvSWirAqM,00042_0149,0
id00025,_tVvSWirAqM,00042_0328,0
id00025,_tVvSWirAqM,00041_0133,0
id00025,_tVvSWirAqM,00042_0305,0
id00025,_tVvSWirAqM,00039_0125,0
id00025,_tVvSWirAqM,00040_0165,0
id00025,_tVvSWirAqM,00042_0252,0
id00025,_tVvSWirAqM,00042_0068,0
id00025,_tVvSWirAqM,00042_0346,0
id00025,_tVvSWirAqM,00042_0390,0
id00025,jV5BPt7AxOE,00057_0124,1
id00025,jV5BPt7AxOE,00057_0099,1
id00025,jV5BPt7AxOE,00057_0025,0
id00025,jV5BPt7AxOE,00055_0291,0
id00025,jV5BPt7AxOE,00055_0112,1
id00025,jV5BPt7AxOE,00056_0000,0
id00025,jV5BPt7AxOE,00057_0062,0
id00025,jV5BPt7AxOE,00057_0060,0
id00025,jV5BPt7AxOE,00056_0044,1
id00025,jV5BPt7AxOE,00057_0082,1
id00025,O_ICgJ0s-_o,00020_0106,1
id00025,O_ICgJ0s-_o,00013_0061,1
id00025,O_ICgJ0s-_o,00019_0098,0
id00025,O_ICgJ0s-_o,00014_0022,1
id00025,O_ICgJ0s-_o,00020_0066,1
id00025,O_ICgJ0s-_o,00012_0073,0
id00025,O_ICgJ0s-_o,00020_0042,1
